Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,1,10,1,2,14,,红、长、直    ╋ ╋ ╋,10,40,7,14,71,
,白、小、焦     ━ ━ ━,3,8,0,0,11,,白、小、焦     ━ ━ ━,3,1,1,,5,
,白、长、直     ━ ╋ ╋,0,4,0,1,5,,白、长、直     ━ ╋ ╋,1,,,,1,
,红、小、焦     ╋ ━ ━,3,0,0,0,3,,红、小、焦     ╋ ━ ━,2,,,,2,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,,,1,,1,
,白、小、直     ━ ━ ╋,1,,,,1,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,,2,,,2,,红、小、直     ╋ ━ ╋,3,,2,,5,
,白、长、焦     ━ ╋ ━,,,,,0,,白、长、焦     ━ ╋ ━,1,,,,1,
,体色合计,32,,4,,36,,体色合计,61,,25,,86,
,性别合计,8,24,1,3,,,性别合计,20,41,11,14,,果蝇总数
,性别合计,♀,9,♂,27,,,性别合计,♀,31,♂,55,,122
