Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,11,15,2,1,29,,红、长、直    ╋ ╋ ╋,31,6,14,2,53,
,白、小、焦     ━ ━ ━,10,16,1,2,29,,白、小、焦     ━ ━ ━,2,7,,5,14,
,白、长、直     ━ ╋ ╋,4,1,,2,7,,白、长、直     ━ ╋ ╋,1,1,1,2,5,
,红、小、焦     ╋ ━ ━,1,3,,,4,,红、小、焦     ╋ ━ ━,,3,,,3,
,红、长、焦     ╋ ╋ ━,,,,1,1,,红、长、焦     ╋ ╋ ━,,1,,,1,
,白、小、直     ━ ━ ╋,1,1,,,2,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,1,3,1,,5,,红、小、直     ╋ ━ ╋,9,7,,3,19,
,白、长、焦     ━ ╋ ━,1,2,1,,4,,白、长、焦     ━ ╋ ━,0,8,,,8,
,体色合计,70,,11,,81,,体色合计,76,,27,,103,
,性别合计,29,41,5,6,,,性别合计,43,33,15,12,,果蝇总数
,性别合计,♀,34,♂,47,,,性别合计,♀,58,♂,45,,184
