Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,11,8,8,6,33,,红、长、直    ╋ ╋ ╋,39,6,8,4,57,
,白、小、焦     ━ ━ ━,19,14,6,8,47,,白、小、焦     ━ ━ ━,,7,,2,9,
,白、长、直     ━ ╋ ╋,2,2,,1,5,,白、长、直     ━ ╋ ╋,,1,,,1,
,红、小、焦     ╋ ━ ━,2,4,,1,7,,红、小、焦     ╋ ━ ━,,,,,0,
,红、长、焦     ╋ ╋ ━,,1,,,1,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,,,,0,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,3,3,,2,8,,红、小、直     ╋ ━ ╋,,5,,2,7,
,白、长、焦     ━ ╋ ━,3,4,1,1,9,,白、长、焦     ━ ╋ ━,,2,,,2,
,体色合计,76,,34,,110,,体色合计,60,,16,,76,
,性别合计,40,36,15,19,,,性别合计,39,21,8,8,,果蝇总数
,性别合计,♀,55,♂,55,,,性别合计,♀,47,♂,29,,186
