Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,17,20,7,8,52,,红、长、直    ╋ ╋ ╋,45,13,13,5,76,
,白、小、焦     ━ ━ ━,15,9,4,4,32,,白、小、焦     ━ ━ ━,0,7,0,7,14,
,白、长、直     ━ ╋ ╋,0,2,1,1,4,,白、长、直     ━ ╋ ╋,0,5,0,0,5,
,红、小、焦     ╋ ━ ━,4,2,0,0,6,,红、小、焦     ╋ ━ ━,0,2,0,0,2,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,0,0,1,0,1,,白、小、直     ━ ━ ╋,0,1,0,0,1,
,红、小、直     ╋ ━ ╋,6,1,0,1,8,,红、小、直     ╋ ━ ╋,0,0,0,2,2,
,白、长、焦     ━ ╋ ━,3,2,0,1,6,,白、长、焦     ━ ╋ ━,0,5,0,0,5,
,体色合计,81,,28,,109,,体色合计,78,,27,,105,
,性别合计,45,36,13,15,,,性别合计,45,33,13,14,,果蝇总数
,性别合计,♀,58,♂,51,,,性别合计,♀,58,♂,47,,214
