Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,25,14,10,5,54,,红、长、直    ╋ ╋ ╋,36,19,11,2,68,
,白、小、焦     ━ ━ ━,14,14,0,9,37,,白、小、焦     ━ ━ ━,0,14,0,7,21,
,白、长、直     ━ ╋ ╋,4,3,2,3,12,,白、长、直     ━ ╋ ╋,0,0,0,1,1,
,红、小、焦     ╋ ━ ━,5,2,2,1,10,,红、小、焦     ╋ ━ ━,0,9,0,2,11,
,红、长、焦     ╋ ╋ ━,2,2,0,0,4,,红、长、焦     ╋ ╋ ━,0,1,0,1,2,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,1,1,0,1,3,,红、小、直     ╋ ━ ╋,0,2,0,0,2,
,白、长、焦     ━ ╋ ━,7,5,2,1,15,,白、长、焦     ━ ╋ ━,0,2,0,0,2,
,体色合计,99,,36,,135,,体色合计,83,,24,,107,
,性别合计,58,41,16,20,,,性别合计,36,47,11,13,,果蝇总数
,性别合计,♀,74,♂,61,,,性别合计,♀,47,♂,60,,242
