Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,17,14,2,5,38,,红、长、直    ╋ ╋ ╋,46,21,11,9,87,
,白、小、焦     ━ ━ ━,22,11,11,3,47,,白、小、焦     ━ ━ ━,0,23,0,9,32,
,白、长、直     ━ ╋ ╋,0,0,0,0,0,,白、长、直     ━ ╋ ╋,0,0,0,0,0,
,红、小、焦     ╋ ━ ━,0,0,0,0,0,,红、小、焦     ╋ ━ ━,0,0,0,0,0,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,1,0,0,1,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,0,0,0,0,0,,红、小、直     ╋ ━ ╋,0,0,0,0,0,
,白、长、焦     ━ ╋ ━,0,0,0,0,0,,白、长、焦     ━ ╋ ━,0,3,0,0,3,
,体色合计,64,,21,,85,,体色合计,94,,29,,123,
,性别合计,39,25,13,8,,,性别合计,46,48,11,18,,果蝇总数
,性别合计,♀,52,♂,33,,,性别合计,♀,57,♂,66,,208
