Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,16,17,4,6,43,,红、长、直    ╋ ╋ ╋,17,4,5,1,27,
,白、小、焦     ━ ━ ━,24,18,6,1,49,,白、小、焦     ━ ━ ━,0,1,0,0,1,
,白、长、直     ━ ╋ ╋,0,0,1,2,3,,白、长、直     ━ ╋ ╋,0,1,0,0,1,
,红、小、焦     ╋ ━ ━,2,3,0,0,5,,红、小、焦     ╋ ━ ━,0,1,0,0,1,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,0,0,0,0,0,,红、小、直     ╋ ━ ╋,0,0,0,0,0,
,白、长、焦     ━ ╋ ━,0,0,0,0,0,,白、长、焦     ━ ╋ ━,0,0,0,0,0,
,体色合计,80,,20,,100,,体色合计,24,,6,,30,
,性别合计,42,38,11,9,,,性别合计,17,7,5,1,,果蝇总数
,性别合计,♀,53,♂,47,,,性别合计,♀,22,♂,8,,130
