Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,8,3,,,11,,红、长、直    ╋ ╋ ╋,22,6,5,,33,
,白、小、焦     ━ ━ ━,5,3,1,,9,,白、小、焦     ━ ━ ━,,7,,,7,
,白、长、直     ━ ╋ ╋,5,3,,1,9,,白、长、直     ━ ╋ ╋,,1,,,1,
,红、小、焦     ╋ ━ ━,,,,,0,,红、小、焦     ╋ ━ ━,,2,,2,4,
,红、长、焦     ╋ ╋ ━,,3,1,1,5,,红、长、焦     ╋ ╋ ━,2,,,,2,
,白、小、直     ━ ━ ╋,,,,,0,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,1,,1,,2,,红、小、直     ╋ ━ ╋,1,,,2,3,
,白、长、焦     ━ ╋ ━,7,3,1,1,12,,白、长、焦     ━ ╋ ━,1,2,,1,4,
,体色合计,41,,7,,48,,体色合计,44,,10,,54,
,性别合计,26,15,4,3,,,性别合计,26,18,5,5,,果蝇总数
,性别合计,♀,30,♂,18,,,性别合计,♀,31,♂,23,,102
