Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,16,10,6,6,38,,红、长、直    ╋ ╋ ╋,,,,,0,
,白、小、焦     ━ ━ ━,7,6,4,2,19,,白、小、焦     ━ ━ ━,,,,,0,
,白、长、直     ━ ╋ ╋,2,5,2,,9,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,2,6,,2,10,,红、小、焦     ╋ ━ ━,,,,,0,
,红、长、焦     ╋ ╋ ━,2,2,,,4,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,5,3,3,,11,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,5,4,2,,11,,红、小、直     ╋ ━ ╋,,,,,0,
,白、长、焦     ━ ╋ ━,2,1,,,3,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,78,,27,,105,,体色合计,0,,0,,0,
,性别合计,41,37,17,10,,,性别合计,0,0,0,0,,果蝇总数
,性别合计,♀,58,♂,47,,,性别合计,♀,0,♂,0,,105
