Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,8,13,2,4,27,,红、长、直    ╋ ╋ ╋,22,11,15,8,56,
,白、小、焦     ━ ━ ━,8,1,0,0,9,,白、小、焦     ━ ━ ━,0,6,0,3,9,
,白、长、直     ━ ╋ ╋,6,3,0,1,10,,白、长、直     ━ ╋ ╋,0,5,0,0,5,
,红、小、焦     ╋ ━ ━,2,1,0,1,4,,红、小、焦     ╋ ━ ━,0,2,0,0,2,
,红、长、焦     ╋ ╋ ━,3,3,2,0,8,,红、长、焦     ╋ ╋ ━,0,1,0,0,1,
,白、小、直     ━ ━ ╋,0,1,0,0,1,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,0,3,0,0,3,,红、小、直     ╋ ━ ╋,0,0,0,0,0,
,白、长、焦     ━ ╋ ━,3,12,0,2,17,,白、长、焦     ━ ╋ ━,0,3,0,0,3,
,体色合计,67,,12,,79,,体色合计,50,,26,,76,
,性别合计,30,37,4,8,,,性别合计,22,28,15,11,,果蝇总数
,性别合计,♀,34,♂,45,,,性别合计,♀,37,♂,39,,155
