Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,7,10,4,5,26,,红、长、直    ╋ ╋ ╋,47,17,2,2,68,
,白、小、焦     ━ ━ ━,8,6,1,2,17,,白、小、焦     ━ ━ ━,,14,,3,17,
,白、长、直     ━ ╋ ╋,4,5,0,1,10,,白、长、直     ━ ╋ ╋,,2,,1,3,
,红、小、焦     ╋ ━ ━,1,0,0,0,1,,红、小、焦     ╋ ━ ━,,1,,,1,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,0,0,0,0,0,,白、小、直     ━ ━ ╋,,2,,,2,
,红、小、直     ╋ ━ ╋,0,1,0,0,1,,红、小、直     ╋ ━ ╋,,1,,,1,
,白、长、焦     ━ ╋ ━,4,2,1,0,7,,白、长、焦     ━ ╋ ━,,,,3,3,
,体色合计,48,,14,,62,,体色合计,84,,11,,95,
,性别合计,24,24,6,8,,,性别合计,47,37,2,9,,果蝇总数
,性别合计,♀,30,♂,32,,,性别合计,♀,49,♂,46,,157
