Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,13,10,3,1,27,,红、长、直    ╋ ╋ ╋,14,3,7,4,28,
,白、小、焦     ━ ━ ━,7,7,3,0,17,,白、小、焦     ━ ━ ━,0,9,0,7,16,
,白、长、直     ━ ╋ ╋,4,4,1,0,9,,白、长、直     ━ ╋ ╋,1,1,0,0,2,
,红、小、焦     ╋ ━ ━,2,3,0,0,5,,红、小、焦     ╋ ━ ━,0,2,0,0,2,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,1,1,0,1,3,,白、小、直     ━ ━ ╋,0,0,0,1,1,
,红、小、直     ╋ ━ ╋,2,2,0,0,4,,红、小、直     ╋ ━ ╋,3,3,0,0,6,
,白、长、焦     ━ ╋ ━,1,3,1,0,5,,白、长、焦     ━ ╋ ━,0,1,0,0,1,
,体色合计,60,,10,,70,,体色合计,37,,19,,56,
,性别合计,30,30,8,2,,,性别合计,18,19,7,12,,果蝇总数
,性别合计,♀,38,♂,32,,,性别合计,♀,25,♂,31,,126
