Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,8,2,3,2,15,,红、长、直    ╋ ╋ ╋,29,12,10,8,59,
,白、小、焦     ━ ━ ━,15,4,0,0,19,,白、小、焦     ━ ━ ━,1,9,1,6,17,
,白、长、直     ━ ╋ ╋,2,0,0,0,2,,白、长、直     ━ ╋ ╋,0,2,0,1,3,
,红、小、焦     ╋ ━ ━,3,0,0,0,3,,红、小、焦     ╋ ━ ━,0,0,1,0,1,
,红、长、焦     ╋ ╋ ━,1,0,0,0,1,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,1,0,0,0,1,,白、小、直     ━ ━ ╋,0,0,0,1,1,
,红、小、直     ╋ ━ ╋,0,3,0,1,4,,红、小、直     ╋ ━ ╋,0,1,0,0,1,
,白、长、焦     ━ ╋ ━,0,3,0,1,4,,白、长、焦     ━ ╋ ━,0,3,0,1,4,
,体色合计,42,,7,,49,,体色合计,57,,29,,86,
,性别合计,30,12,3,4,,,性别合计,30,27,12,17,,果蝇总数
,性别合计,♀,33,♂,16,,,性别合计,♀,42,♂,44,,135
