Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,14,7,5,1,27,,红、长、直    ╋ ╋ ╋,30,8,11,5,54,
,白、小、焦     ━ ━ ━,18,6,0,1,25,,白、小、焦     ━ ━ ━,0,13,0,3,16,
,白、长、直     ━ ╋ ╋,3,1,0,0,4,,白、长、直     ━ ╋ ╋,0,1,0,0,1,
,红、小、焦     ╋ ━ ━,1,0,1,0,2,,红、小、焦     ╋ ━ ━,1,2,0,0,3,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,1,0,0,0,1,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,4,1,2,0,7,,红、小、直     ╋ ━ ╋,2,4,0,1,7,
,白、长、焦     ━ ╋ ━,3,2,0,0,5,,白、长、焦     ━ ╋ ━,0,5,0,0,5,
,体色合计,61,,10,,71,,体色合计,66,,20,,86,
,性别合计,44,17,8,2,,,性别合计,33,33,11,9,,果蝇总数
,性别合计,♀,52,♂,19,,,性别合计,♀,44,♂,42,,157
