Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,23,19,10,6,58,,红、长、直    ╋ ╋ ╋,44,17,18,3,82,
,白、小、焦     ━ ━ ━,26,30,4,10,70,,白、小、焦     ━ ━ ━,0,26,0,7,33,
,白、长、直     ━ ╋ ╋,3,4,0,1,8,,白、长、直     ━ ╋ ╋,0,4,0,0,4,
,红、小、焦     ╋ ━ ━,4,5,1,1,11,,红、小、焦     ╋ ━ ━,1,2,0,2,5,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,3,0,0,2,5,,白、小、直     ━ ━ ╋,0,2,0,1,3,
,红、小、直     ╋ ━ ╋,12,13,3,6,34,,红、小、直     ╋ ━ ╋,8,13,2,3,26,
,白、长、焦     ━ ╋ ━,2,5,1,0,8,,白、长、焦     ━ ╋ ━,0,3,0,0,3,
,体色合计,149,,45,,194,,体色合计,120,,36,,156,
,性别合计,73,76,19,26,,,性别合计,53,67,20,16,,果蝇总数
,性别合计,♀,92,♂,102,,,性别合计,♀,73,♂,83,,350
