Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,17,15,7,7,46,,红、长、直    ╋ ╋ ╋,19,12,8,5,44,
,白、小、焦     ━ ━ ━,18,6,7,10,41,,白、小、焦     ━ ━ ━,,1,,3,4,
,白、长、直     ━ ╋ ╋,3,4,5,2,14,,白、长、直     ━ ╋ ╋,,1,,1,2,
,红、小、焦     ╋ ━ ━,1,2,2,2,7,,红、小、焦     ╋ ━ ━,,1,,,1,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,,0,,,0,
,白、小、直     ━ ━ ╋,1,0,0,1,2,,白、小、直     ━ ━ ╋,,0,,,0,
,红、小、直     ╋ ━ ╋,4,1,5,2,12,,红、小、直     ╋ ━ ╋,,0,,1,1,
,白、长、焦     ━ ╋ ━,2,1,1,2,6,,白、长、焦     ━ ╋ ━,,1,,1,2,
,体色合计,75,,53,,128,,体色合计,35,,19,,54,
,性别合计,46,29,27,26,,,性别合计,19,16,8,11,,果蝇总数
,性别合计,♀,73,♂,55,,,性别合计,♀,27,♂,27,,182
