Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,32,19,8,4,63,,红、长、直    ╋ ╋ ╋,52,15,8,4,79,
,白、小、焦     ━ ━ ━,24,17,8,5,54,,白、小、焦     ━ ━ ━,,10,,4,14,
,白、长、直     ━ ╋ ╋,6,2,,,8,,白、长、直     ━ ╋ ╋,,4,,1,5,
,红、小、焦     ╋ ━ ━,2,4,1,,7,,红、小、焦     ╋ ━ ━,,5,,2,7,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,1,,,,1,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,4,8,4,5,21,,红、小、直     ╋ ━ ╋,,2,,1,3,
,白、长、焦     ━ ╋ ━,4,1,3,1,9,,白、长、焦     ━ ╋ ━,,1,,,1,
,体色合计,124,,39,,163,,体色合计,89,,20,,109,
,性别合计,73,51,24,15,,,性别合计,52,37,8,12,,果蝇总数
,性别合计,♀,97,♂,66,,,性别合计,♀,60,♂,49,,272
