Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,19,11,7,3,40,,红、长、直    ╋ ╋ ╋,33,12,20,3,68,
,白、小、焦     ━ ━ ━,9,11,8,7,35,,白、小、焦     ━ ━ ━,1,12,,2,15,
,白、长、直     ━ ╋ ╋,1,5,,1,7,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,3,1,,2,6,,红、小、焦     ╋ ━ ━,,3,,1,4,
,红、长、焦     ╋ ╋ ━,1,,,,1,,红、长、焦     ╋ ╋ ━,,2,,,2,
,白、小、直     ━ ━ ╋,2,,,1,3,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,4,4,1,,9,,红、小、直     ╋ ━ ╋,,1,,,1,
,白、长、焦     ━ ╋ ━,9,7,1,4,21,,白、长、焦     ━ ╋ ━,,1,,,1,
,体色合计,87,,35,,122,,体色合计,65,,26,,91,
,性别合计,48,39,17,18,,,性别合计,34,31,20,6,,果蝇总数
,性别合计,♀,65,♂,57,,,性别合计,♀,54,♂,37,,213
