Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,,,,,0,,红、长、直    ╋ ╋ ╋,4,1,1,0,6,
,白、小、焦     ━ ━ ━,,,,,0,,白、小、焦     ━ ━ ━,0,1,0,0,1,
,白、长、直     ━ ╋ ╋,,,,,0,,白、长、直     ━ ╋ ╋,0,0,0,0,0,
,红、小、焦     ╋ ━ ━,,,,,0,,红、小、焦     ╋ ━ ━,1,1,0,0,2,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,,,,,0,,白、小、直     ━ ━ ╋,0,2,0,0,2,
,红、小、直     ╋ ━ ╋,,,,,0,,红、小、直     ╋ ━ ╋,8,5,1,0,14,
,白、长、焦     ━ ╋ ━,,,,,0,,白、长、焦     ━ ╋ ━,0,0,0,0,0,
,体色合计,0,,0,,0,,体色合计,23,,2,,25,
,性别合计,0,0,0,0,,,性别合计,13,10,2,0,,果蝇总数
,性别合计,♀,0,♂,0,,,性别合计,♀,15,♂,10,,25
