Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,3,5,2,2,12,,红、长、直    ╋ ╋ ╋,25,7,11,4,47,
,白、小、焦     ━ ━ ━,4,5,2,1,12,,白、小、焦     ━ ━ ━,1,14,,3,18,
,白、长、直     ━ ╋ ╋,,1,,,1,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,1,,,,1,,红、小、焦     ╋ ━ ━,,1,1,2,4,
,红、长、焦     ╋ ╋ ━,,,1,,1,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,,1,,1,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,2,1,1,1,5,,红、小、直     ╋ ━ ╋,3,1,2,2,8,
,白、长、焦     ━ ╋ ━,,,,,0,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,22,,11,,33,,体色合计,52,,25,,77,
,性别合计,10,12,7,4,,,性别合计,29,23,14,11,,果蝇总数
,性别合计,♀,17,♂,16,,,性别合计,♀,43,♂,34,,110
