Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,13,10,4,3,30,,红、长、直    ╋ ╋ ╋,29,10,10,2,51,
,白、小、焦     ━ ━ ━,14,8,3,4,29,,白、小、焦     ━ ━ ━,0,3,0,4,7,
,白、长、直     ━ ╋ ╋,2,0,0,0,2,,白、长、直     ━ ╋ ╋,1,2,0,1,4,
,红、小、焦     ╋ ━ ━,2,2,0,0,4,,红、小、焦     ╋ ━ ━,0,5,0,0,5,
,红、长、焦     ╋ ╋ ━,1,1,0,1,3,,红、长、焦     ╋ ╋ ━,1,2,0,0,3,
,白、小、直     ━ ━ ╋,2,1,0,0,3,,白、小、直     ━ ━ ╋,0,0,0,1,1,
,红、小、直     ╋ ━ ╋,0,2,0,0,2,,红、小、直     ╋ ━ ╋,3,5,0,0,8,
,白、长、焦     ━ ╋ ━,0,0,0,0,0,,白、长、焦     ━ ╋ ━,0,0,0,1,1,
,体色合计,58,,15,,73,,体色合计,61,,19,,80,
,性别合计,34,24,7,8,,,性别合计,34,27,10,9,,果蝇总数
,性别合计,♀,41,♂,32,,,性别合计,♀,44,♂,36,,153
