Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,12,17,5,2,36,,红、长、直    ╋ ╋ ╋,40,13,23,4,80,
,白、小、焦     ━ ━ ━,22,21,,2,45,,白、小、焦     ━ ━ ━,0,,,,0,
,白、长、直     ━ ╋ ╋,5,4,,,9,,白、长、直     ━ ╋ ╋,0,2,1,0,3,
,红、小、焦     ╋ ━ ━,3,2,1,1,7,,红、小、焦     ╋ ━ ━,0,3,,,3,
,红、长、焦     ╋ ╋ ━,1,0,,,1,,红、长、焦     ╋ ╋ ━,0,0,,,0,
,白、小、直     ━ ━ ╋,0,0,,,0,,白、小、直     ━ ━ ╋,0,0,0,,0,
,红、小、直     ╋ ━ ╋,3,3,,1,7,,红、小、直     ╋ ━ ╋,0,0,0,,0,
,白、长、焦     ━ ╋ ━,0,1,1,1,3,,白、长、焦     ━ ╋ ━,0,17,2,,19,
,体色合计,94,,14,,108,,体色合计,75,,30,,105,
,性别合计,46,48,7,7,,,性别合计,40,35,26,4,,果蝇总数
,性别合计,♀,53,♂,55,,,性别合计,♀,66,♂,39,,213
