Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,17,16,11,2,46,,红、长、直    ╋ ╋ ╋,35,8,10,3,56,
,白、小、焦     ━ ━ ━,16,13,6,2,37,,白、小、焦     ━ ━ ━,0,6,0,0,6,
,白、长、直     ━ ╋ ╋,0,1,3,0,4,,白、长、直     ━ ╋ ╋,0,0,0,0,0,
,红、小、焦     ╋ ━ ━,8,3,1,1,13,,红、小、焦     ╋ ━ ━,0,2,0,0,2,
,红、长、焦     ╋ ╋ ━,0,0,0,0,0,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,1,0,1,0,2,,白、小、直     ━ ━ ╋,0,0,0,0,0,
,红、小、直     ╋ ━ ╋,3,6,1,0,10,,红、小、直     ╋ ━ ╋,0,3,0,0,3,
,白、长、焦     ━ ╋ ━,5,5,1,0,11,,白、长、焦     ━ ╋ ━,0,0,0,0,0,
,体色合计,94,,29,,123,,体色合计,54,,13,,67,
,性别合计,50,44,24,5,,,性别合计,35,19,10,3,,果蝇总数
,性别合计,♀,74,♂,49,,,性别合计,♀,45,♂,22,,190
