Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,14,16,5,,35,,红、长、直    ╋ ╋ ╋,22,5,4,1,32,
,白、小、焦     ━ ━ ━,19,9,6,,34,,白、小、焦     ━ ━ ━,,5,,4,9,
,白、长、直     ━ ╋ ╋,3,,,,3,,白、长、直     ━ ╋ ╋,,1,,1,2,
,红、小、焦     ╋ ━ ━,3,1,2,1,7,,红、小、焦     ╋ ━ ━,,,,,0,
,红、长、焦     ╋ ╋ ━,,2,,,2,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,1,,,3,4,,白、小、直     ━ ━ ╋,,1,,,1,
,红、小、直     ╋ ━ ╋,,5,1,2,8,,红、小、直     ╋ ━ ╋,,,,,0,
,白、长、焦     ━ ╋ ━,,3,,,3,,白、长、焦     ━ ╋ ━,,4,,,4,
,体色合计,76,,20,,96,,体色合计,38,,10,,48,
,性别合计,40,36,14,6,,,性别合计,22,16,4,6,,果蝇总数
,性别合计,♀,54,♂,42,,,性别合计,♀,26,♂,22,,144
