Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.287, 71, 446, -, 1500
1, 2, 0.367, 72, 491, -, 1000
1, 3, 0.387, 92, 674, -, 900
1, 4, 0.414, 90, 576, -, 800
1, 5, 0.44, 79, 557, -, 700
1, 6, 0.474, 77, 648, -, 600
1, 7, 0.514, 124, 1112, -, 500
1, 8, 0.561, 60, 533, -, 400
1, 9, 0.617, 59, 499, -, 300
1, 10, 0.694, 60, 618, -, 200
1, 11, 0.784, 45, 554, -, 100
2, 1, 0.487, 53, 778, -, 559
2, 2, 0.807, 119, 1978, -, 104
3, 1, 0.47, 50, 696, -, 607
3, 2, 0.517, 46, 461, -, 482
3, 3, 0.801, 183, 3197, -, 108
4, 1, 0.801, 193, 2834, -, 108
5, 1, 0.467, 90, 1078, -, 618
5, 2, 0.517, 105, 967, -, 482
5, 3, 0.787, 237, 4402, -, 117
6, 1, 0.461, 44, 814, -, 638
6, 2, 0.791, 195, 3144, -, 114
7, 1, 0.437, 74, 821, -, 716
7, 2, 0.784, 238, 4295, -, 119
8, 1, 0.414, 60, 507, -, 803
8, 2, 0.784, 233, 4130, -, 119
