Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.31, 113, 725, -, 1500
1, 2, 0.375, 103, 668, -, 1000
1, 3, 0.394, 129, 864, -, 900
1, 4, 0.412, 122, 764, -, 800
1, 5, 0.437, 112, 740, -, 700
1, 6, 0.462, 97, 715, -, 600
1, 7, 0.499, 187, 1297, -, 500
1, 8, 0.536, 85, 543, -, 400
1, 9, 0.589, 94, 584, -, 300
1, 10, 0.654, 103, 738, -, 200
1, 11, 0.731, 67, 520, -, 100
2, 1, 0.453, 104, 906, -, 639
2, 2, 0.762, 253, 4933, -, 102
3, 1, 0.471, 148, 1139, -, 572
3, 2, 0.49, 126, 746, -, 513
3, 3, 0.759, 254, 5335, -, 104
4, 1, 0.468, 125, 903, -, 583
4, 2, 0.487, 117, 646, -, 522
4, 3, 0.753, 47, 673, -, 108
5, 1, 0.443, 65, 525, -, 675
5, 2, 0.471, 66, 486, -, 572
5, 3, 0.753, 251, 3817, -, 108
6, 1, 0.459, 113, 796, -, 616
6, 2, 0.521, 145, 963, -, 427
6, 3, 0.753, 253, 5703, -, 108
7, 1, 0.462, 78, 534, -, 605
7, 2, 0.521, 105, 681, -, 427
7, 3, 0.75, 254, 5245, -, 110
8, 1, 0.505, 238, 1788, -, 468
8, 2, 0.756, 49, 512, -, 106
9, 1, 0.394, 49, 460, -, 906
9, 2, 0.48, 101, 736, -, 542
9, 3, 0.753, 252, 4397, -, 108
10, 1, 0.474, 69, 605, -, 562
10, 2, 0.753, 247, 2815, -, 108
11, 1, 0.511, 243, 1854, -, 451
11, 2, 0.75, 55, 560, -, 110
12, 1, 0.456, 121, 965, -, 628
12, 2, 0.49, 137, 1049, -, 513
12, 3, 0.756, 249, 4709, -, 106
13, 1, 0.44, 146, 910, -, 688
13, 2, 0.493, 169, 893, -, 503
13, 3, 0.756, 69, 719, -, 106
14, 1, 0.453, 129, 1090, -, 639
14, 2, 0.483, 123, 947, -, 532
14, 3, 0.759, 241, 4507, -, 104
15, 1, 0.465, 98, 931, -, 594
15, 2, 0.487, 107, 613, -, 522
15, 3, 0.765, 254, 4857, -, 100
16, 1, 0.505, 102, 779, -, 468
16, 2, 0.524, 90, 686, -, 419
16, 3, 0.768, 254, 5623, -, 98
17, 1, 0.093, 29, 876, -, 5391
17, 2, 0.459, 124, 884, -, 616
17, 3, 0.527, 202, 1401, -, 411
17, 4, 0.765, 254, 5779, -, 100
