Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.383, 92, 779, -, 610
1, 2, 0.421, 86, 545, -, 496
1, 3, 0.72, 252, 3643, -, 100
2, 1, 0.351, 222, 1092, -, 725
2, 2, 0.395, 226, 1462, -, 569
2, 3, 0.708, 46, 365, -, 107
3, 1, 0.344, 238, 1654, -, 750
3, 2, 0.714, 33, 265, -, 104
4, 1, 0.37, 229, 1277, -, 653
4, 2, 0.402, 227, 1444, -, 550
5, 1, 0.421, 194, 1606, -, 496
5, 2, 0.459, 171, 1038, -, 403
5, 3, 0.714, 251, 3253, -, 104
6, 1, 0.37, 218, 1367, -, 653
6, 2, 0.708, 29, 406, -, 107
7, 1, 0.37, 205, 1092, -, 653
7, 2, 0.434, 209, 1346, -, 463
7, 3, 0.714, 33, 379, -, 104
8, 1, 0.217, 111, 774, -, 1500
8, 2, 0.293, 117, 360, -, 1000
8, 3, 0.313, 151, 564, -, 900
8, 4, 0.325, 136, 484, -, 800
8, 5, 0.357, 112, 485, -, 700
8, 6, 0.383, 111, 527, -, 600
8, 7, 0.421, 216, 987, -, 500
8, 8, 0.465, 89, 496, -, 400
8, 9, 0.523, 87, 622, -, 300
8, 10, 0.599, 81, 586, -, 200
8, 11, 0.688, 58, 377, -, 100
9, 1, 0.408, 129, 1231, -, 531
9, 2, 0.465, 140, 944, -, 390
9, 3, 0.733, 251, 3469, -, 94
10, 1, 0.37, 246, 1760, -, 653
10, 2, 0.727, 40, 926, -, 97
11, 1, 0.402, 77, 507, -, 550
11, 2, 0.472, 102, 860, -, 377
11, 3, 0.727, 254, 3820, -, 97
12, 1, 0.408, 229, 1338, -, 531
12, 2, 0.44, 223, 1124, -, 447
12, 3, 0.733, 42, 646, -, 94
13, 1, 0.402, 106, 972, -, 550
13, 2, 0.434, 105, 713, -, 463
13, 3, 0.739, 250, 3154, -, 91
14, 1, 0.37, 172, 1573, -, 653
14, 2, 0.746, 40, 534, -, 88
15, 1, 0.306, 45, 694, -, 923
15, 2, 0.402, 242, 1221, -, 550
15, 3, 0.459, 241, 1295, -, 403
16, 1, 0.383, 232, 1210, -, 610
16, 2, 0.746, 43, 331, -, 88
