File,Lane #,MW,RepeatNum,HomoOrHeter
..\data\data10-1.csv,6,"[616.0, 427.0]","[29.4375, 17.625]",heter
..\data\data4-2.csv,5,"[618.0, 482.0]","[29.5625, 21.0625]",heter
..\data\data1.csv,4,[619.0],[29.625],homo
..\data\data10-2.csv,6,"[620.0, 506.0]","[29.6875, 22.5625]",heter
..\data\data5-2.csv,15,"[623.0, 496.0]","[29.875, 21.9375]",heter
..\data\data7-1.csv,10,"[623.0, 542.0]","[29.875, 24.8125]",heter
..\data\data3-2.csv,9,[625.0],[30.0],homo
..\data\data7-2.csv,4,"[626.0, 472.0]","[30.0625, 20.4375]",heter
..\data\data4-1.csv,3,"[628.0, 492.0]","[30.1875, 21.6875]",heter
..\data\data10-1.csv,12,"[628.0, 513.0]","[30.1875, 23.0]",heter
..\data\data8-1.csv,9,"[628.0, 541.0]","[30.1875, 24.75]",heter
..\data\data8-2.csv,9,"[628.0, 541.0]","[30.1875, 24.75]",heter
..\data\data9-2.csv,3,[633.0],[30.5],homo
..\data\data9-2.csv,4,"[633.0, 494.0]","[30.5, 21.8125]",heter
..\data\data6-1.csv,7,[634.0],[30.5625],homo
..\data\data7-1.csv,13,[634.0],[30.5625],homo
..\data\data9-1.csv,2,[634.0],[30.5625],homo
..\data\data6-1.csv,8,"[634.0, 507.0]","[30.5625, 22.625]",heter
..\data\data9-1.csv,6,"[634.0, 508.0]","[30.5625, 22.6875]",heter
..\data\data5-2.csv,10,"[635.0, 452.0]","[30.625, 19.1875]",heter
..\data\data1.csv,12,"[635.0, 530.0]","[30.625, 24.0625]",heter
..\data\data5-2.csv,6,"[635.0, 546.0]","[30.625, 25.0625]",heter
..\data\data3-1.csv,8,[638.0],[30.8125],homo
..\data\data4-2.csv,6,[638.0],[30.8125],homo
..\data\data10-1.csv,2,[639.0],[30.875],homo
..\data\data8-1.csv,10,"[639.0, 419.0]","[30.875, 17.125]",heter
..\data\data10-1.csv,14,"[639.0, 532.0]","[30.875, 24.1875]",heter
..\data\data7-2.csv,5,"[640.0, 424.0]","[30.9375, 17.4375]",heter
..\data\data7-1.csv,9,[645.0],[31.25],homo
..\data\data9-2.csv,11,[645.0],[31.25],homo
..\data\data9-1.csv,12,"[645.0, 429.0]","[31.25, 17.75]",heter
..\data\data5-2.csv,7,[647.0],[31.375],homo
..\data\data4-1.csv,2,"[647.0, 390.0]","[31.375, 15.3125]",heter
..\data\data4-1.csv,7,"[647.0, 478.0]","[31.375, 20.8125]",heter
..\data\data5-2.csv,3,"[647.0, 496.0]","[31.375, 21.9375]",heter
..\data\data1.csv,13,"[652.0, 517.0]","[31.6875, 23.25]",heter
..\data\data1.csv,14,"[652.0, 544.0]","[31.6875, 24.9375]",heter
..\data\data2-1.csv,6,[653.0],[31.75],homo
..\data\data2-1.csv,10,[653.0],[31.75],homo
..\data\data2-1.csv,14,[653.0],[31.75],homo
..\data\data2-1.csv,7,"[653.0, 463.0]","[31.75, 19.875]",heter
..\data\data2-1.csv,4,"[653.0, 550.0]","[31.75, 25.3125]",heter
..\data\data7-1.csv,4,[657.0],[32.0],homo
..\data\data7-1.csv,5,"[657.0, 462.0]","[32.0, 19.8125]",heter
..\data\data9-1.csv,9,"[657.0, 526.0]","[32.0, 23.8125]",heter
..\data\data6-2.csv,8,"[662.0, 375.0]","[32.3125, 14.375]",heter
..\data\data2-2.csv,3,[663.0],[32.375],homo
..\data\data2-2.csv,1,"[663.0, 441.0]","[32.375, 18.5]",heter
..\data\data7-1.csv,11,"[668.0, 408.0]","[32.6875, 16.4375]",heter
..\data\data7-1.csv,6,"[668.0, 454.0]","[32.6875, 19.3125]",heter
..\data\data9-2.csv,10,[670.0],[32.8125],homo
..\data\data5-1.csv,1,[671.0],[32.875],homo
..\data\data4-1.csv,4,"[675.0, 451.0]","[33.125, 19.125]",heter
..\data\data10-1.csv,5,"[675.0, 572.0]","[33.125, 26.6875]",heter
..\data\data3-1.csv,7,"[679.0, 470.0]","[33.375, 20.3125]",heter
..\data\data7-1.csv,7,[680.0],[33.4375],homo
..\data\data10-1.csv,13,"[688.0, 503.0]","[33.9375, 22.375]",heter
..\data\data3-1.csv,4,"[693.0, 442.0]","[34.25, 18.5625]",heter
..\data\data3-1.csv,5,"[693.0, 575.0]","[34.25, 26.875]",heter
..\data\data3-1.csv,9,"[707.0, 587.0]","[35.125, 27.625]",heter
..\data\data10-2.csv,4,"[711.0, 506.0]","[35.375, 22.5625]",heter
..\data\data2-2.csv,5,"[714.0, 593.0]","[35.5625, 28.0]",heter
..\data\data4-2.csv,7,[716.0],[35.6875],homo
..\data\data2-1.csv,2,"[725.0, 569.0]","[36.25, 26.5]",heter
..\data\data10-2.csv,7,"[727.0, 635.0]","[36.375, 30.625]",heter
..\data\data2-2.csv,4,"[741.0, 593.0]","[37.25, 28.0]",heter
..\data\data2-1.csv,3,[750.0],[37.8125],homo
..\data\data5-2.csv,17,"[753.0, 546.0]","[38.0, 25.0625]",heter
..\data\data9-1.csv,5,"[767.0, 483.0]","[38.875, 21.125]",heter
..\data\data3-2.csv,2,"[789.0, 458.0]","[40.25, 19.5625]",heter
..\data\data4-1.csv,10,[790.0],[40.3125],homo
..\data\data9-1.csv,7,"[794.0, 500.0]","[40.5625, 22.1875]",heter
..\data\data4-2.csv,8,[803.0],[41.125],homo
..\data\data1.csv,11,"[804.0, 478.0]","[41.1875, 20.8125]",heter
..\data\data1.csv,6,"[826.0, 705.0]","[42.5625, 35.0]",heter
..\data\data7-2.csv,2,"[830.0, 640.0]","[42.8125, 30.9375]",heter
..\data\data7-2.csv,9,"[848.0, 586.0]","[43.9375, 27.5625]",heter
..\data\data2-2.csv,2,"[859.0, 639.0]","[44.625, 30.875]",heter
..\data\data7-2.csv,12,"[905.0, 713.0]","[47.5, 35.5]",heter
..\data\data10-1.csv,9,"[906.0, 542.0]","[47.5625, 24.8125]",heter
..\data\data3-1.csv,10,"[1011.0, 425.0]","[54.125, 17.5]",heter
..\data\data5-2.csv,18,"[1101.0, 782.0]","[59.75, 39.8125]",heter
..\data\data8-2.csv,5,"[7440.0, 349.0]","[455.9375, 12.75]",heter
..\data\data8-2.csv,7,"[7440.0, 467.0]","[455.9375, 20.125]",heter
..\data\data5-2.csv,11,"[7888.0, 588.0]","[483.9375, 27.6875]",heter
..\data\data5-2.csv,12,"[8041.0, 556.0]","[493.5, 25.6875]",heter
