Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.364, 99, 586, -, 509
1, 2, 0.399, 99, 583, -, 400
1, 3, 0.649, 229, 2965, -, 96
2, 1, 0.37, 62, 443, -, 489
2, 2, 0.393, 62, 487, -, 417
2, 3, 0.643, 219, 2488, -, 99
3, 1, 0.268, 41, 602, -, 1011
3, 2, 0.317, 81, 620, -, 707
3, 3, 0.393, 172, 1033, -, 417
3, 4, 0.634, 240, 3296, -, 102
4, 1, 0.32, 52, 390, -, 693
4, 2, 0.384, 112, 628, -, 442
4, 3, 0.623, 237, 4045, -, 108
5, 1, 0.32, 92, 613, -, 693
5, 2, 0.346, 101, 592, -, 575
5, 3, 0.62, 231, 3993, -, 109
6, 1, 0.346, 74, 681, -, 575
6, 2, 0.611, 224, 3087, -, 114
7, 1, 0.323, 38, 363, -, 679
7, 2, 0.375, 60, 331, -, 470
7, 3, 0.611, 227, 3137, -, 114
8, 1, 0.332, 204, 1305, -, 638
8, 2, 0.611, 234, 4037, -, 114
9, 1, 0.317, 66, 419, -, 707
9, 2, 0.344, 74, 524, -, 587
9, 3, 0.611, 233, 3598, -, 114
10, 1, 0.268, 64, 677, -, 1011
10, 2, 0.39, 140, 1463, -, 425
10, 3, 0.611, 241, 3292, -, 114
11, 1, 0.216, 99, 552, -, 1500
11, 2, 0.268, 79, 433, -, 1000
11, 3, 0.282, 118, 553, -, 900
11, 4, 0.297, 109, 648, -, 800
11, 5, 0.317, 97, 522, -, 700
11, 6, 0.341, 93, 532, -, 600
11, 7, 0.373, 180, 1042, -, 500
11, 8, 0.405, 75, 445, -, 400
11, 9, 0.451, 75, 510, -, 300
11, 10, 0.512, 90, 555, -, 200
11, 11, 0.588, 52, 378, -, 100
