Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.494, 52, 445, -, 449
1, 2, 0.82, 219, 3956, -, 95
2, 1, 0.4, 29, 312, -, 789
2, 2, 0.49, 65, 577, -, 458
2, 3, 0.813, 227, 3729, -, 97
3, 1, 0.445, 44, 283, -, 599
3, 2, 0.803, 180, 2492, -, 100
4, 1, 0.448, 125, 829, -, 587
4, 2, 0.469, 86, 433, -, 518
4, 3, 0.799, 27, 429, -, 102
5, 1, 0.476, 113, 1391, -, 497
5, 2, 0.789, 224, 4030, -, 105
6, 1, 0.476, 92, 999, -, 497
6, 2, 0.518, 81, 708, -, 390
6, 3, 0.782, 226, 4176, -, 108
7, 1, 0.441, 68, 820, -, 612
7, 2, 0.782, 226, 3708, -, 108
8, 1, 0.077, 23, 291, -, 6176
8, 2, 0.365, 36, 350, -, 978
8, 3, 0.428, 52, 333, -, 666
9, 1, 0.438, 36, 631, -, 625
9, 2, 0.775, 220, 4042, -, 111
10, 1, 0.504, 36, 319, -, 423
10, 2, 0.771, 227, 4414, -, 112
11, 1, 0.299, 113, 562, -, 1500
11, 2, 0.358, 90, 485, -, 1000
11, 3, 0.375, 126, 604, -, 900
11, 4, 0.396, 111, 475, -, 800
11, 5, 0.417, 98, 479, -, 700
11, 6, 0.445, 96, 491, -, 600
11, 7, 0.483, 176, 961, -, 500
11, 8, 0.521, 69, 402, -, 400
11, 9, 0.577, 69, 461, -, 300
11, 10, 0.646, 79, 512, -, 200
11, 11, 0.733, 45, 325, -, 100
