Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.191	90	564	-	1500
1	2	0.279	85	485	-	1000
1	3	0.303	109	615	-	900
1	4	0.327	96	526	-	800
1	5	0.357	83	455	-	700
1	6	0.396	73	496	-	600
1	7	0.444	129	852	-	500
1	8	0.493	60	416	-	400
1	9	0.561	60	386	-	300
1	10	0.649	57	404	-	200
1	11	0.752	49	394	-	100
2	1	0.322	47	478	-	830
2	2	0.381	56	408	-	640
2	3	0.791	228	3418	-	103
3	1	0.396	86	860	-	599
3	2	0.44	80	637	-	493
3	3	0.781	244	4502	-	108
4	1	0.386	63	452	-	626
4	2	0.449	65	468	-	472
4	3	0.781	241	4042	-	108
5	1	0.381	108	856	-	640
5	2	0.474	120	778	-	424
5	3	0.776	245	3433	-	110
6	1	0.415	101	872	-	549
6	2	0.498	121	957	-	380
6	3	0.771	245	4218	-	112
7	1	0.488	186	1898	-	397
7	2	0.766	244	4850	-	115
8	1	0.444	140	1226	-	482
8	2	0.771	243	4113	-	112
9	1	0.318	52	518	-	848
9	2	0.401	75	533	-	586
9	3	0.771	241	4091	-	112
10	1	0.425	154	1506	-	526
10	2	0.771	237	3983	-	112
11	1	0.449	111	673	-	472
11	2	0.766	35	337	-	115
12	1	0.303	91	555	-	905
12	2	0.357	97	630	-	713
12	3	0.776	29	378	-	110

