Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.781	140	1253	-	86
2	1	0.457	47	655	-	494
2	2	0.781	177	1709	-	86
3	1	0.777	207	2215	-	88
4	1	0.781	115	894	-	86
5	1	0.777	205	2269	-	88
6	1	0.781	188	1588	-	86
7	1	0.439	78	558	-	538
7	2	0.518	99	683	-	367
7	3	0.781	212	1894	-	86
8	1	0.395	54	453	-	662
8	2	0.514	98	1379	-	375
8	3	0.781	203	1824	-	86
9	1	0.413	60	562	-	609
9	2	0.777	212	2189	-	88
10	1	0.505	50	468	-	391
10	2	0.777	204	1867	-	88
11	1	0.417	51	625	-	597
11	2	0.522	64	757	-	359
11	3	0.777	208	1912	-	88
12	1	0.5	80	607	-	400
12	2	0.772	156	1186	-	91
13	1	0.22	62	439	-	1500
13	2	0.303	57	223	-	1000
13	3	0.329	69	435	-	900
13	4	0.351	66	410	-	800
13	5	0.382	60	423	-	700
13	6	0.417	60	469	-	600
13	7	0.461	94	598	-	500
13	8	0.505	55	400	-	400
13	9	0.562	55	402	-	300
13	10	0.641	54	436	-	200
13	11	0.733	47	383	-	100

