Lane #, Band #, Peak Rf, Peak value, Raw volume, Cal. volume, MW
1, 1, 0.25, 69, 470, -, 1500
1, 2, 0.324, 64, 378, -, 1000
1, 3, 0.344, 80, 516, -, 900
1, 4, 0.364, 73, 517, -, 800
1, 5, 0.394, 68, 468, -, 700
1, 6, 0.427, 62, 469, -, 600
1, 7, 0.467, 108, 749, -, 500
1, 8, 0.51, 58, 410, -, 400
1, 9, 0.574, 61, 492, -, 300
1, 10, 0.65, 65, 483, -, 200
1, 11, 0.747, 58, 533, -, 100
2, 1, 0.414, 39, 390, -, 634
2, 2, 0.794, 251, 3444, -, 103
3, 1, 0.794, 223, 2276, -, 103
4, 1, 0.434, 98, 829, -, 573
4, 2, 0.454, 97, 575, -, 517
4, 3, 0.791, 245, 3360, -, 104
5, 1, 0.377, 40, 501, -, 767
5, 2, 0.467, 52, 473, -, 483
6, 1, 0.414, 48, 857, -, 634
6, 2, 0.457, 53, 557, -, 508
6, 3, 0.797, 231, 2574, -, 101
7, 1, 0.371, 51, 494, -, 794
7, 2, 0.461, 116, 895, -, 500
7, 3, 0.767, 163, 1607, -, 115
7, 4, 0.797, 254, 3469, -, 101
8, 1, 0.357, 46, 733, -, 850
8, 2, 0.427, 122, 724, -, 592
8, 3, 0.507, 210, 1162, -, 394
8, 4, 0.801, 252, 3408, -, 100
9, 1, 0.407, 104, 546, -, 657
9, 2, 0.45, 107, 873, -, 526
9, 3, 0.804, 50, 706, -, 99
10, 1, 0.464, 103, 641, -, 491
10, 2, 0.52, 140, 780, -, 369
10, 3, 0.797, 253, 3625, -, 101
11, 1, 0.447, 43, 385, -, 535
11, 2, 0.797, 242, 2431, -, 101
12, 1, 0.41, 77, 426, -, 645
12, 2, 0.491, 110, 617, -, 429
12, 3, 0.791, 250, 3028, -, 104
