Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.258	89	647	-	1500
1	2	0.326	93	789	-	1000
1	3	0.347	110	640	-	900
1	4	0.368	98	574	-	800
1	5	0.396	87	567	-	700
1	6	0.425	79	576	-	600
1	7	0.463	126	1074	-	500
1	8	0.506	66	633	-	400
1	9	0.566	69	557	-	300
1	10	0.64	78	692	-	200
1	11	0.735	61	578	-	100
2	1	0.463	62	434	-	485
2	2	0.771	235	4921	-	107
3	1	0.414	82	745	-	633
3	2	0.781	238	4332	-	102
4	1	0.414	78	708	-	633
4	2	0.46	87	522	-	494
4	3	0.788	241	5283	-	99
5	1	0.435	86	680	-	564
5	2	0.478	88	810	-	450
5	3	0.799	230	3382	-	95
6	1	0.799	216	2847	-	95
7	1	0.453	122	1048	-	513
7	2	0.495	100	590	-	410
7	3	0.792	225	3573	-	98
8	1	0.488	190	1226	-	425
9	1	0.453	118	1009	-	513
9	2	0.485	89	691	-	433
9	3	0.781	241	5761	-	102
10	1	0.403	61	548	-	670
10	2	0.771	204	2187	-	107
11	1	0.41	62	553	-	645
11	2	0.767	222	3332	-	109

