Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.499	40	354	-	451
1	2	0.543	37	430	-	349
1	3	0.817	90	1104	-	80
2	1	0.539	38	422	-	356
2	2	0.814	104	1044	-	82
3	1	0.486	110	848	-	485
3	2	0.807	238	5859	-	84
4	1	0.038	33	140	-	7300
4	2	0.48	67	617	-	503
4	3	0.505	64	559	-	434
4	4	0.801	233	4373	-	86
5	1	0.035	33	168	-	7440
5	2	0.543	48	536	-	349
5	3	0.798	224	4195	-	88
6	1	0.035	33	142	-	7440
6	2	0.047	33	141	-	6895
6	3	0.465	68	518	-	552
6	4	0.543	93	610	-	349
6	5	0.789	235	4680	-	92
7	1	0.035	34	142	-	7440
7	2	0.493	97	1072	-	467
7	3	0.782	236	5624	-	95
8	1	0.032	34	146	-	7583
8	2	0.044	33	143	-	7027
8	3	0.49	88	601	-	476
8	4	0.53	89	602	-	376
8	5	0.776	233	4698	-	98
9	1	0.443	63	510	-	628
9	2	0.468	57	361	-	541
9	3	0.77	232	3007	-	101
10	1	0.029	38	159	-	7729
10	2	0.44	55	465	-	639
10	3	0.511	68	493	-	419
10	4	0.764	211	1934	-	104
11	1	0.3	146	767	-	1500
11	2	0.362	118	519	-	1000
11	3	0.381	175	861	-	900
11	4	0.399	165	720	-	800
11	5	0.424	135	710	-	700
11	6	0.452	127	640	-	600
11	7	0.486	225	1117	-	500
11	8	0.524	90	554	-	400
11	9	0.58	89	609	-	300
11	10	0.645	98	615	-	200
11	11	0.726	57	454	-	100

