Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.646	156	1303	-	99
2	1	0.355	46	346	-	588
2	2	0.421	57	495	-	404
2	3	0.65	191	1532	-	96
3	1	0.418	48	410	-	412
3	2	0.65	168	1356	-	96
4	1	0.404	74	902	-	444
4	2	0.431	62	559	-	382
4	3	0.646	209	1583	-	99
5	1	0.414	51	585	-	420
5	2	0.65	198	1579	-	96
6	1	0.653	178	1426	-	94
7	1	0.342	47	444	-	634
7	2	0.653	188	1390	-	94
8	1	0.342	50	768	-	634
8	2	0.381	51	546	-	507
8	3	0.653	197	1465	-	94
9	1	0.653	196	1570	-	94
10	1	0.656	171	1362	-	92
11	1	0.348	47	428	-	611
11	2	0.418	67	584	-	412
11	3	0.656	175	1395	-	92
12	1	0.414	47	460	-	420
12	2	0.653	169	1253	-	94
13	1	0.186	60	627	-	1500
13	2	0.255	53	379	-	1000
13	3	0.275	67	412	-	900
13	4	0.299	66	397	-	800
13	5	0.325	57	364	-	700
13	6	0.351	56	437	-	600
13	7	0.388	90	658	-	500
13	8	0.428	51	563	-	400
13	9	0.477	50	418	-	300
13	10	0.544	52	716	-	200
13	11	0.62	46	408	-	100

