Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.513	75	557	-	515
1	2	0.552	56	378	-	403
2	1	0.494	118	1367	-	577
3	1	0.476	73	629	-	647
3	2	0.519	79	665	-	496
4	1	0.504	41	438	-	546
4	2	0.531	38	276	-	460
4	3	0.808	233	2599	-	85
5	1	0.485	97	981	-	611
5	2	0.802	25	488	-	88
6	1	0.479	54	450	-	635
6	2	0.504	42	423	-	546
6	3	0.793	26	216	-	93
7	1	0.476	44	578	-	647
8	1	0.507	96	983	-	535
9	1	0.344	64	374	-	1500
9	2	0.41	62	234	-	1000
9	3	0.422	77	495	-	900
9	4	0.437	70	332	-	800
9	5	0.461	61	377	-	700
9	6	0.488	59	428	-	600
9	7	0.522	113	628	-	500
9	8	0.558	50	379	-	400
9	9	0.609	49	349	-	300
9	10	0.669	57	368	-	200
9	11	0.747	33	227	-	100
10	1	0.479	95	620	-	635
10	2	0.534	106	873	-	452
10	3	0.769	23	262	-	107
11	1	0.082	25	105	-	7888
11	2	0.491	89	562	-	588
12	1	0.079	20	108	-	8041
12	2	0.5	76	907	-	556
12	3	0.76	225	1978	-	113
13	1	0.079	19	87	-	8041
13	2	0.461	76	634	-	711
13	3	0.525	148	984	-	478
14	1	0.485	62	672	-	611
15	1	0.482	107	609	-	623
15	2	0.519	97	577	-	496
15	3	0.741	24	451	-	126
16	1	0.494	177	1680	-	577
17	1	0.452	102	713	-	753
17	2	0.504	118	737	-	546
18	1	0.392	56	390	-	1101
18	2	0.446	82	531	-	782

