Lane #	Band #	Peak Rf	Peak value	Raw volume	Cal. volume	MW
1	1	0.212	109	520	-	1500
1	2	0.301	88	454	-	1000
1	3	0.325	116	602	-	900
1	4	0.352	113	552	-	800
1	5	0.385	103	545	-	700
1	6	0.424	89	448	-	600
1	7	0.468	159	711	-	500
1	8	0.52	70	360	-	400
1	9	0.588	75	391	-	300
1	10	0.672	75	453	-	200
1	11	0.769	56	384	-	100
2	1	0.449	40	274	-	532
2	2	0.496	36	353	-	431
2	3	0.809	241	2056	-	102
3	1	0.417	113	644	-	612
3	2	0.436	90	663	-	561
3	3	0.809	236	2573	-	102
4	1	0.401	108	652	-	657
4	2	0.801	232	2566	-	106
5	1	0.401	137	621	-	657
5	2	0.48	136	770	-	462
6	1	0.396	99	558	-	668
6	2	0.484	128	1076	-	454
6	3	0.788	246	2992	-	113
7	1	0.392	99	568	-	680
7	2	0.792	250	4378	-	110
8	1	0.436	136	822	-	561
8	2	0.489	121	801	-	446
8	3	0.792	251	4117	-	110
9	1	0.405	119	1136	-	645
9	2	0.809	252	3951	-	102
10	1	0.413	113	909	-	623
10	2	0.445	118	712	-	542
10	3	0.812	247	2789	-	100
11	1	0.396	53	424	-	668
11	2	0.509	52	782	-	408
11	3	0.82	65	506	-	96
12	1	0.429	177	1445	-	581
12	2	0.82	252	4604	-	96
13	1	0.408	76	505	-	634
13	2	0.829	235	2074	-	92
14	1	0.461	84	799	-	505
14	2	0.829	249	2943	-	92

