正交,,,,,,,,反交,,,,,,,
"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",,"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",
♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂
14,,,7,,,,,36,22,,,,,,
11,,,8,,,,,52,45,,,,,,
12,,3,25,,,,,13,15,,,,,,
26,,,19,,,,,39,28,,,,,,
21,,,27,,,,,,,,,,,,
26,,,25,,,,,42,44,,4,,,,
14,,1,17,,,,5,24,22,,,,,,
10,,,6,,,,,4,3,,,,,,
,,,,,,,,33,11,,,,,,
1,0,0,0,4,12,0,1,25,21,0,1,0,0,0,0
