正交,,,,,,,,反交,,,,,,,
"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",,"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",
♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂
10,1,0,6,0,2,0,0,28,22,0,0,0,0,0,0
48,0,0,67,0,0,0,0,42,46,0,0,0,0,0,0
35,0,0,37,0,0,0,0,16,0,0,0,0,0,0,0
17,1,1,21,0,0,0,0,64,74,0,0,0,0,0,0
33,0,4,50,0,0,0,0,55,67,0,0,0,0,0,0
10,0,2,23,0,0,0,0,43,68,1,0,0,0,0,0
40,0,0,18,0,0,0,0,43,37,0,0,0,0,0,0
48,0,0,37,0,0,0,0,48,51,0,0,0,0,0,0
73,0,0,59,0,0,0,0,28,18,0,1,0,0,1,0
13,0,0,15,0,0,0,0,101,71,0,0,0,0,0,0
25,0,0,16,0,0,0,0,66,68,0,0,0,0,0,0
24,1,1,22,0,4,0,0,78,90,0,1,0,0,0,0
