正交,,,,,,,,反交,,,,,,,
"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",,"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",
♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂
13,,,36,,,,,22,32,,,,,,
21,,,15,,,,,48,41,,,,,,
11,,,5,,,,,17,24,,,,,,
14,,,15,,,,,28,33,,,,,,
19,,,16,,,,,30,21,,,,,,
27,,,22,,,,,48,43,,,,,,
1,,,1,,,,,30,25,,,,,,
20,,,25,12,4,,,33,24,,,,,,
44,,,41,,,,,80,77,,,,,,
20,,,22,,,,,38,45,,,,,,
