正交,,,,,,,,反交,,,,,,,
"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",,"灰体
红、长、直",,"灰体
白、小、焦",,"黑体
红、长、直",,"黑体
白、小、焦",
♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂,♀,♂
14,0,0,8,0,0,0,0,58,38,0,0,0,0,0,0
38,0,0,16,0,0,0,0,65,62,0,0,0,0,0,0
11,0,0,4,0,0,0,0,49,44,0,0,0,0,0,0
8,0,0,2,2,8,0,0,62,54,0,0,0,0,0,0
,,,,15,19,,,,,,,,,,
14,0,0,8,0,0,0,0,38,41,0,0,0,0,0,0
16,0,2,20,0,0,0,0,54,51,0,0,0,0,0,0
