Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,7,6,1,2,16,,红、长、直    ╋ ╋ ╋,35,11,2,1,49,
,白、小、焦     ━ ━ ━,0,1,0,1,2,,白、小、焦     ━ ━ ━,0,2,0,0,2,
,白、长、直     ━ ╋ ╋,5,6,0,0,11,,白、长、直     ━ ╋ ╋,0,5,0,1,6,
,红、小、焦     ╋ ━ ━,0,0,0,1,1,,红、小、焦     ╋ ━ ━,0,0,0,0,0,
,红、长、焦     ╋ ╋ ━,2,3,0,2,7,,红、长、焦     ╋ ╋ ━,0,0,0,0,0,
,白、小、直     ━ ━ ╋,6,6,0,0,12,,白、小、直     ━ ━ ╋,0,2,0,0,2,
,红、小、直     ╋ ━ ╋,3,4,1,0,8,,红、小、直     ╋ ━ ╋,0,0,0,0,0,
,白、长、焦     ━ ╋ ━,0,0,0,1,1,,白、长、焦     ━ ╋ ━,0,0,0,0,0,
,体色合计,49,,9,,58,,体色合计,55,,4,,59,
,性别合计,23,26,2,7,,,性别合计,35,20,2,2,,果蝇总数
,性别合计,♀,25,♂,33,,,性别合计,♀,37,♂,22,,117
