Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,20,6,1,1,28,,红、长、直    ╋ ╋ ╋,15,7,,1,23,
,白、小、焦     ━ ━ ━,6,13,3,1,23,,白、小、焦     ━ ━ ━,,1,,1,2,
,白、长、直     ━ ╋ ╋,2,1,,2,5,,白、长、直     ━ ╋ ╋,,1,,,1,
,红、小、焦     ╋ ━ ━,,2,,,2,,红、小、焦     ╋ ━ ━,,1,,,1,
,红、长、焦     ╋ ╋ ━,,,,,0,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,1,,,1,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,1,1,1,,3,,红、小、直     ╋ ━ ╋,1,,,1,2,
,白、长、焦     ━ ╋ ━,3,1,,,4,,白、长、焦     ━ ╋ ━,,4,,,4,
,体色合计,57,,9,,66,,体色合计,30,,3,,33,
,性别合计,32,25,5,4,,,性别合计,16,14,0,3,,果蝇总数
,性别合计,♀,37,♂,29,,,性别合计,♀,16,♂,17,,99
