Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,5,11,1,1,18,,红、长、直    ╋ ╋ ╋,7,3,3,1,14,
,白、小、焦     ━ ━ ━,4,6,4,,14,,白、小、焦     ━ ━ ━,,5,,1,6,
,白、长、直     ━ ╋ ╋,2,,,,2,,白、长、直     ━ ╋ ╋,,4,,1,5,
,红、小、焦     ╋ ━ ━,1,3,,1,5,,红、小、焦     ╋ ━ ━,,2,,,2,
,红、长、焦     ╋ ╋ ━,1,,,,1,,红、长、焦     ╋ ╋ ━,,,,,0,
,白、小、直     ━ ━ ╋,,,,,0,,白、小、直     ━ ━ ╋,,1,,,1,
,红、小、直     ╋ ━ ╋,1,1,,1,3,,红、小、直     ╋ ━ ╋,,1,,,1,
,白、长、焦     ━ ╋ ━,,1,2,,3,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,36,,10,,46,,体色合计,23,,6,,29,
,性别合计,14,22,7,3,,,性别合计,7,16,3,3,,果蝇总数
,性别合计,♀,21,♂,25,,,性别合计,♀,10,♂,19,,75
