Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,10,11,2,5,28,,红、长、直    ╋ ╋ ╋,,,,,0,
,白、小、焦     ━ ━ ━,16,14,4,2,36,,白、小、焦     ━ ━ ━,,,,,0,
,白、长、直     ━ ╋ ╋,2,5,4,2,13,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,1,2,2,1,6,,红、小、焦     ╋ ━ ━,,,,,0,
,红、长、焦     ╋ ╋ ━,1,2,1,,4,,红、长、焦     ╋ ╋ ━,7,2,1,1,11,
,白、小、直     ━ ━ ╋,2,2,1,,5,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,2,2,1,1,6,,红、小、直     ╋ ━ ╋,,,,,0,
,白、长、焦     ━ ╋ ━,3,5,1,,9,,白、长、焦     ━ ╋ ━,,,,,0,
,体色合计,80,,27,,107,,体色合计,9,,2,,11,
,性别合计,37,43,16,11,,,性别合计,7,2,1,1,,果蝇总数
,性别合计,♀,53,♂,54,,,性别合计,♀,8,♂,3,,118
