Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,正  交,灰体,,黑体,,合计,,反  交,灰体,,黑体,,合计,
,,♀,♂,♀,♂,,,,♀,♂,♀,♂,,
,红、长、直    ╋ ╋ ╋,10,12,1,4,27,,红、长、直    ╋ ╋ ╋,14,4,,,18,
,白、小、焦     ━ ━ ━,3,4,4,4,15,,白、小、焦     ━ ━ ━,1,,,,1,
,白、长、直     ━ ╋ ╋,3,6,0,1,10,,白、长、直     ━ ╋ ╋,,,,,0,
,红、小、焦     ╋ ━ ━,0,2,1,0,3,,红、小、焦     ╋ ━ ━,,1,,,1,
,红、长、焦     ╋ ╋ ━,,1,,,1,,红、长、焦     ╋ ╋ ━,2,1,,,3,
,白、小、直     ━ ━ ╋,3,1,,3,7,,白、小、直     ━ ━ ╋,,,,,0,
,红、小、直     ╋ ━ ╋,3,6,,4,13,,红、小、直     ╋ ━ ╋,1,1,,,2,
,白、长、焦     ━ ╋ ━,3,3,2,,8,,白、长、焦     ━ ╋ ━,,1,,,1,
,体色合计,60,,24,,84,,体色合计,26,,0,,26,
,性别合计,25,35,8,16,,,性别合计,18,8,0,0,,果蝇总数
,性别合计,♀,33,♂,51,,,性别合计,♀,18,♂,8,,110
